name,street,place,dist,diesel,e5,e10,isOpen,houseNumber,postCode
Access Berlin,Reichsstr.,Berlin,9.5,1.719,1.789,1.729,True,86,14052
Aral Tankstelle,Drakestraße,Berlin,9.5,1.709,1.819,1.759,True,26a,12205
TotalEnergies Berlin,Heerstr.,Berlin,9.5,1.739,1.809,1.749,True,35-37,14055
Aral Tankstelle,Roedernallee,Berlin,9.5,1.739,1.809,1.749,True,179,13407
Esso Tankstelle,MARIENFELDER CHAUSSEE 171,BERLIN,9.5,1.709,1.819,1.759,True,,12349
Esso Tankstelle,UNTER DEN EICHEN 67-69,BERLIN,9.5,1.679,1.789,1.729,True,,12203
star Tankstelle,Gehrenseestraße,Berlin,9.5,1.699,1.749,1.689,True,10,13053
TotalEnergies Berlin,Ribnitzer Str.,Berlin,9.6,1.729,1.749,1.689,True,42,13051
Aral Tankstelle,Neuköllner Straße,Berlin,9.6,1.719,1.829,1.769,True,219,12357
Shell Berlin Scharnweberstr. 79/81,Scharnweberstr.,Berlin,9.7,1.749,1.769,1.709,True,79/81,13405
Esso Tankstelle,FRITZ-ERLER-ALLEE 154,BERLIN,9.7,1.719,1.829,1.769,True,,12353
star Tankstelle,Königsberger Straße,Berlin,9.8,1.699,1.799,1.739,True,25a,12207
Aral Tankstelle,Pasewalker Straße,Berlin,9.8,1.749,1.789,1.729,True,110,13127
JET BERLIN BUCKOWER CHAUSSEE 36-42,BUCKOWER CHAUSSEE,BERLIN,9.8,1.659,1.779,1.719,True,36-42,12277
Sb Berlin Marzahn Märkische Allee 61,Märkische Allee,Berlin Marzahn,9.8,1.669,1.719,1.659,True,61,12681
Sprint Berlin Barnackufer,Barnackufer,Berlin,9.8,1.719,1.829,1.769,True,25,12207
Aral Tankstelle,Märkische Allee,Berlin,9.9,1.709,1.759,1.699,True,155,12681
Aral Tankstelle,Neukoellner Str.,Berlin,10.0,1.719,1.829,1.769,True,250-256,12357
